time,distance,gaze
1.804684,14.18086,0
1.806935,14.18086,0
1.809083,14.18086,0
1.811359,14.18086,0
1.813673,14.18086,0
1.815866,14.18086,0
1.817996,14.18086,0
1.820381,14.18086,0
1.822895,14.18086,0
1.82504,14.18086,0
1.827181,14.18086,0
1.829426,14.18086,0
1.832151,14.18086,0
1.834734,14.18086,0
1.837088,14.18086,0
1.83937,14.18086,0
1.841727,14.18086,0
1.844032,14.18086,0
1.846432,14.18086,0
1.848868,14.18086,0
1.851143,14.18086,0
1.85331,14.18086,0
1.855755,14.18086,0
1.857795,14.18086,0
1.859889,14.18086,0
1.861981,14.18086,0
1.864917,14.18086,0
1.867113,14.18086,0
1.869415,14.18086,0
1.87167,14.18086,0
1.873838,14.18086,0
1.876038,14.18086,0
1.878101,14.18086,0
1.880758,14.18086,0
1.883368,14.18086,0
1.885694,14.18086,0
1.887782,14.18086,0
1.889888,14.18086,0
1.892066,14.18086,0
1.894104,14.18086,0
1.896497,14.18086,0
1.898853,14.18086,0
1.901041,14.18086,0
1.903713,14.18086,0
1.905863,14.18086,0
1.907876,14.18086,0
1.910162,14.18086,0
1.912773,14.18086,0
1.915251,14.18086,0
1.917602,14.18086,0
1.919838,14.18086,0
1.922086,14.18086,0
1.924655,14.18086,0
1.926844,14.18086,0
1.929104,14.18086,0
1.931776,14.18086,0
1.933976,14.18086,0
1.935896,14.18086,0
1.937927,14.18086,0
1.93979,14.18086,0
1.941591,14.18086,0
1.943972,14.18086,0
1.946584,14.18086,0
1.948914,14.18086,0
1.951013,14.18086,0
1.952932,14.18086,0
1.955075,14.18086,0
1.957239,14.18086,0
1.959176,14.18086,0
1.960996,14.18086,0
1.963783,14.18086,0
1.966147,14.18086,0
1.968123,14.18086,0
1.970105,14.18086,0
1.971984,14.18086,0
1.97386,14.18086,0
1.975749,14.18086,0
1.977676,14.18086,0
1.979975,14.18086,0
1.982032,14.18086,0
1.9843,14.18086,0
1.98614,14.18086,0
1.988023,14.18086,0
1.99,14.18086,0
1.99199,14.18086,0
1.994091,14.18086,0
1.996153,14.18086,0
1.998279,14.18086,0
2.00018,14.18086,0
2.002454,14.18086,0
2.004565,14.18086,0
2.006881,14.18086,0
2.008845,14.18086,0
2.010947,14.18086,0
2.01307,14.18086,0
2.015293,14.18086,0
2.017671,14.18086,0
2.019879,14.18086,0
2.02189,14.18086,0
2.02414,14.18086,0
2.026121,14.18086,0
2.028132,14.18086,0
2.030797,14.18086,0
2.033077,14.18086,0
2.035523,14.18086,0
2.037558,14.18086,0
2.039601,14.18086,0
2.041596,14.18086,0
2.043919,14.18086,0
2.045975,14.18086,0
2.048161,14.18086,0
2.05029,14.18086,0
2.052681,14.18086,0
2.054661,14.18086,0
2.056605,14.18086,0
2.058817,14.18086,0
2.061143,14.18086,0
2.063768,14.18086,0
2.06617,14.18086,0
2.068666,14.18086,0
2.070926,14.18086,0
2.073133,14.18086,0
2.075683,14.18086,0
2.078116,14.18086,0
2.080607,14.18086,0
2.083247,14.18086,0
2.085718,14.18086,0
2.088017,14.18086,0
2.090262,14.18086,0
2.092711,14.18086,0
2.094852,14.18086,0
2.097674,14.18086,0
2.100038,14.18086,0
2.102889,14.18086,0
2.105634,14.18086,0
2.107914,14.18086,0
2.110212,14.18086,0
2.112776,14.18086,0
2.115364,14.18086,0
2.117733,14.18086,0
2.119838,14.18086,0
2.121966,14.18086,0
2.124816,14.18086,0
2.126944,14.18086,0
2.129121,14.18086,0
2.13167,14.18086,0
2.133744,14.18086,0
2.135916,14.18086,0
2.13817,14.18086,0
2.140828,14.18086,0
2.143142,14.18086,0
2.146071,14.18086,0
2.148699,14.18086,0
2.150825,14.18086,0
2.153084,14.18086,0
2.15572,14.18086,0.003353
2.158566,14.18086,0.017064
2.16121,14.18086,0.024684
2.164133,14.18086,0.039246
2.166711,14.18086,0.05209
2.168796,14.18086,0.060846
2.170989,14.18086,0.069629
2.173357,14.18086,0.078695
2.175884,14.18086,0.091431
2.178004,14.18086,0.099256
2.180197,14.18086,0.106857
2.18286,14.18086,0.11947
2.18504,14.18086,0.127369
2.187259,14.18086,0.13505
2.18943,14.18086,0.146727
2.191692,14.18086,0.155512
2.193756,14.18086,0.162206
2.196052,14.18086,0.169973
2.198509,14.18086,0.181538
2.20065,14.18086,0.188282
2.203008,14.18086,0.196099
2.205138,14.18086,0.202638
2.207455,14.18086,0.212995
2.20951,14.18086,0.220619
2.21164,14.18086,0.22825
2.213875,14.18086,0.235886
2.216048,14.18086,0.241151
2.218473,14.18086,0.251296
2.220695,14.18086,0.258927
2.223067,14.18086,0.265239
2.225133,14.18086,0.270708
2.227467,14.18086,0.279467
2.229779,14.18086,0.285723
2.232089,14.18086,0.290881
2.234523,14.18086,0.299515
2.236715,14.18086,0.304333
2.238869,14.18086,0.30939
2.241001,14.18086,0.315486
2.243478,14.18086,0.32281
2.245747,14.18086,0.327739
2.248447,14.18086,0.333525
2.25075,14.18086,0.337277
2.252818,14.18086,0.340986
2.254965,14.18086,0.344318
2.25711,14.18086,0.34793
2.259198,14.18086,0.350091
2.261402,14.18086,0.353219
2.263959,14.18086,0.355595
2.26618,14.18086,0.356504
2.26881,14.18086,0.358277
2.271374,14.18086,0.359674
2.273633,14.18086,0.359756
2.275703,14.18086,0.360344
2.278104,14.18086,0.359423
2.280523,14.18086,0.359139
2.283084,14.18086,0.35804
2.285243,14.18086,0.357867
2.287704,14.18086,0.356672
2.290001,14.18086,0.355831
2.292279,14.18086,0.354888
2.294706,14.18086,0.351899
2.297176,14.18086,0.350306
2.299678,14.18086,0.347089
2.301717,14.18086,0.344798
2.304368,14.18086,0.34202
2.306838,14.18086,0.339404
2.309081,14.18086,0.336476
2.311643,14.18086,0.332149
2.313885,14.18086,0.329399
2.316425,14.18086,0.326256
2.318734,14.18086,0.321296
2.320943,14.18086,0.318026
2.323636,14.18086,0.312897
2.325943,14.18086,0.308894
2.328278,14.18086,0.305444
2.330887,14.18086,0.300074
2.33328,14.18086,0.295687
2.335702,14.18086,0.290809
2.337939,14.18086,0.286341
2.340128,14.18086,0.283281
2.342673,14.18086,0.276146
2.345255,14.18086,0.271568
2.348111,14.18086,0.265742
2.350673,14.18086,0.258418
2.352787,14.18086,0.253051
2.354816,14.18086,0.249058
2.357028,14.18086,0.24362
2.359056,14.18086,0.238837
2.361206,14.18086,0.233342
2.363761,14.18086,0.225738
2.365948,14.18086,0.220854
2.368172,14.18086,0.215254
2.3705,14.18086,0.20746
2.372635,14.18086,0.202497
2.374792,14.18086,0.197438
2.377092,14.18086,0.19171
2.380048,14.18086,0.183687
2.382683,14.18086,0.176314
2.38485,14.18086,0.17107
2.38698,14.18086,0.16521
2.389042,14.18086,0.159898
2.391086,14.18086,0.154732
2.393278,14.18086,0.150099
2.396032,14.18086,0.142454
2.398439,14.18086,0.137226
2.40074,14.18086,0.129738
2.403108,14.18086,0.125737
2.405137,14.18086,0.120465
2.407178,14.18086,0.116425
2.409414,14.18086,0.111883
2.411575,14.18086,0.104765
2.4139,14.18086,0.100961
2.416063,14.18086,0.09639
2.418244,14.18086,0.093786
2.420656,14.18086,0.088433
2.422991,14.18086,0.084269
2.425255,14.18086,0.081198
2.42768,14.18086,0.077775
2.430097,14.18086,0.074695
2.432402,14.18086,0.072384
2.434673,14.18086,0.067759
2.436809,14.18086,0.066216
2.438944,14.18086,0.06313
2.440994,14.18086,0.061586
2.443685,14.18086,0.059269
2.445951,14.18086,0.058109
2.448243,14.18086,0.056561
2.450679,14.18086,0.054239
2.452788,14.18086,0.05269
2.454817,14.18086,0.051916
2.456924,14.18086,0.051141
2.459105,14.18086,0.050367
2.461225,14.18086,0.049592
2.463487,14.18086,0.049592
2.465767,14.18086,0.048817
2.467575,14.18086,0.048817
2.469371,14.18086,0.048817
2.4711,14.18086,0.048817
2.473079,14.18086,0.048043
2.475395,14.18086,0.04841
2.477331,14.18086,0.04841
2.479251,14.18086,0.04841
2.481383,14.18086,0.04841
2.483935,14.18086,0.04841
2.485795,14.18086,0.04841
2.487664,14.18086,0.04841
2.489625,14.18086,0.04841
2.491442,14.18086,0.04841
2.493155,14.18086,0.04841
2.4949,14.18086,0.04841
2.496751,14.18086,0.04841
2.498491,14.18086,0.04841
2.500111,14.18086,0.04841
2.501945,14.18086,0.04841
2.503692,14.18086,0.04841
2.505389,14.18086,0.04841
2.507535,14.18086,0.048777
2.509455,14.18086,0.048777
2.511111,14.18086,0.048777
2.512905,14.18086,0.048777
2.514697,14.18086,0.048777
2.516373,14.18086,0.048777
2.518028,14.18086,0.048777
2.519853,14.18086,0.048777
2.521575,14.18086,0.048777
2.523484,14.18086,0.048777
2.525194,14.18086,0.048777
2.52696,14.18086,0.048777
2.528647,14.18086,0.048777
2.530882,14.18086,0.048777
2.53255,14.18086,0.048777
2.534157,14.18086,0.048777
2.535774,14.18086,0.048777
2.537565,14.18086,0.048777
2.539326,14.18086,0.048777
2.541062,14.18086,0.048777
2.542991,14.18086,0.048777
2.544779,14.18086,0.048777
2.546965,14.18086,0.049143
2.548923,14.18086,0.049143
2.550594,14.18086,0.049143
2.552692,14.18086,0.049509
2.554858,14.18086,0.050655
2.557043,14.18086,0.051021
2.559167,14.18086,0.052585
2.561399,14.18086,0.05332
2.563968,14.18086,0.055259
2.566126,14.18086,0.056414
2.568357,14.18086,0.057941
2.570735,14.18086,0.060263
2.573268,14.18086,0.061797
2.575744,14.18086,0.064553
2.578143,14.18086,0.066894
2.580928,14.18086,0.07042
2.583666,14.18086,0.074764
2.585894,14.18086,0.077942
2.587981,14.18086,0.08113
2.590133,14.18086,0.085139
2.592264,14.18086,0.088351
2.594429,14.18086,0.091574
2.59674,14.18086,0.09807
2.599105,14.18086,0.102542
2.601242,14.18086,0.106629
2.603674,14.18086,0.113607
2.605633,14.18086,0.11897
2.607688,14.18086,0.123938
2.609811,14.18086,0.12975
2.611761,14.18086,0.135581
2.613895,14.18086,0.141431
2.615914,14.18086,0.14813
2.617926,14.18086,0.154464
2.620098,14.18086,0.161208
2.622557,14.18086,0.17094
2.624641,14.18086,0.179035
2.626872,14.18086,0.18537
2.629074,14.18086,0.19303
2.631507,14.18086,0.203714
2.633829,14.18086,0.211414
2.635953,14.18086,0.218618
2.638095,14.18086,0.225503
2.640208,14.18086,0.234074
2.642533,14.18086,0.245997
2.64464,14.18086,0.254586
2.646899,14.18086,0.261798
2.648997,14.18086,0.270397
2.651119,14.18086,0.278173
2.65317,14.18086,0.287032
2.655603,14.18086,0.298936
2.657895,14.18086,0.306114
2.660104,14.18086,0.31471
2.662758,14.18086,0.325757
2.66521,14.18086,0.333712
2.667648,14.18086,0.345524
2.669807,14.18086,0.352624
2.671966,14.18086,0.359706
2.674047,14.18086,0.366768
2.676656,14.18086,0.377771
2.678964,14.18086,0.385466
2.681664,14.18086,0.397068
2.684168,14.18086,0.404014
2.686691,14.18086,0.414013
2.689095,14.18086,0.421621
2.691699,14.18086,0.432252
2.693989,14.18086,0.437537
2.696795,14.18086,0.448048
2.699684,14.18086,0.456227
2.701983,14.18086,0.461355
2.70505,14.18086,0.469403
2.707577,14.18086,0.477374
2.70992,14.18086,0.482448
2.712481,14.18086,0.487363
2.715007,14.18086,0.493602
2.717637,14.18086,0.499922
2.719952,14.18086,0.503978
2.722701,14.18086,0.508654
